"","year","minwage","household","scenario","absolute_poverty","relative_poverty"
"1","Üksik mees","Tegelik 2020",5.47,32.99,2020,585
"2","Üksik mees","Ennustatud 2020",5.47,32.99,2020,585
"3","Üksik naine","Tegelik 2020",1.35,21.29,2020,585
"4","Üksik naine","Ennustatud 2020",1.35,21.29,2020,585
"5","Üksikvanem","Tegelik 2020",0,29.34,2020,585
"6","Üksikvanem","Ennustatud 2020",0,29.34,2020,585
"7","Lasteta paar","Tegelik 2020",0.26,9.21,2020,585
"8","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,585
"9","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,585
"10","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,585
"11","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,585
"12","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,585
"13","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,585
"14","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,585
"15","Üksik mees","Tegelik 2020",5.47,32.99,2020,586
"16","Üksik mees","Ennustatud 2020",5.47,32.99,2020,586
"17","Üksik naine","Tegelik 2020",1.35,21.29,2020,586
"18","Üksik naine","Ennustatud 2020",1.35,21.29,2020,586
"19","Üksikvanem","Tegelik 2020",0,29.34,2020,586
"20","Üksikvanem","Ennustatud 2020",0,29.34,2020,586
"21","Lasteta paar","Tegelik 2020",0.26,9.21,2020,586
"22","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,586
"23","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,586
"24","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,586
"25","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,586
"26","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,586
"27","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,586
"28","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,586
"29","Üksik mees","Tegelik 2020",5.47,32.99,2020,587
"30","Üksik mees","Ennustatud 2020",5.47,32.99,2020,587
"31","Üksik naine","Tegelik 2020",1.35,21.29,2020,587
"32","Üksik naine","Ennustatud 2020",1.35,21.29,2020,587
"33","Üksikvanem","Tegelik 2020",0,29.34,2020,587
"34","Üksikvanem","Ennustatud 2020",0,29.34,2020,587
"35","Lasteta paar","Tegelik 2020",0.26,9.21,2020,587
"36","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,587
"37","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,587
"38","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,587
"39","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,587
"40","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,587
"41","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,587
"42","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,587
"43","Üksik mees","Tegelik 2020",5.47,32.99,2020,588
"44","Üksik mees","Ennustatud 2020",5.47,32.99,2020,588
"45","Üksik naine","Tegelik 2020",1.35,21.29,2020,588
"46","Üksik naine","Ennustatud 2020",1.35,21.29,2020,588
"47","Üksikvanem","Tegelik 2020",0,29.34,2020,588
"48","Üksikvanem","Ennustatud 2020",0,29.34,2020,588
"49","Lasteta paar","Tegelik 2020",0.26,9.21,2020,588
"50","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,588
"51","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,588
"52","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,588
"53","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,588
"54","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,588
"55","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,588
"56","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,588
"57","Üksik mees","Tegelik 2020",5.47,32.99,2020,589
"58","Üksik mees","Ennustatud 2020",5.47,32.99,2020,589
"59","Üksik naine","Tegelik 2020",1.35,21.29,2020,589
"60","Üksik naine","Ennustatud 2020",1.35,21.29,2020,589
"61","Üksikvanem","Tegelik 2020",0,29.34,2020,589
"62","Üksikvanem","Ennustatud 2020",0,29.34,2020,589
"63","Lasteta paar","Tegelik 2020",0.26,9.21,2020,589
"64","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,589
"65","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,589
"66","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,589
"67","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,589
"68","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,589
"69","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,589
"70","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,589
"71","Üksik mees","Tegelik 2020",5.47,32.99,2020,590
"72","Üksik mees","Ennustatud 2020",5.47,32.99,2020,590
"73","Üksik naine","Tegelik 2020",1.35,21.29,2020,590
"74","Üksik naine","Ennustatud 2020",1.35,21.29,2020,590
"75","Üksikvanem","Tegelik 2020",0,29.34,2020,590
"76","Üksikvanem","Ennustatud 2020",0,29.34,2020,590
"77","Lasteta paar","Tegelik 2020",0.26,9.21,2020,590
"78","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,590
"79","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,590
"80","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,590
"81","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,590
"82","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,590
"83","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,590
"84","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,590
"85","Üksik mees","Tegelik 2020",5.47,32.99,2020,591
"86","Üksik mees","Ennustatud 2020",5.47,32.99,2020,591
"87","Üksik naine","Tegelik 2020",1.35,21.29,2020,591
"88","Üksik naine","Ennustatud 2020",1.35,21.29,2020,591
"89","Üksikvanem","Tegelik 2020",0,29.34,2020,591
"90","Üksikvanem","Ennustatud 2020",0,29.34,2020,591
"91","Lasteta paar","Tegelik 2020",0.26,9.21,2020,591
"92","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,591
"93","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,591
"94","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,591
"95","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,591
"96","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,591
"97","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,591
"98","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,591
"99","Üksik mees","Tegelik 2020",5.47,32.99,2020,592
"100","Üksik mees","Ennustatud 2020",5.47,32.99,2020,592
"101","Üksik naine","Tegelik 2020",1.35,21.29,2020,592
"102","Üksik naine","Ennustatud 2020",1.35,21.29,2020,592
"103","Üksikvanem","Tegelik 2020",0,29.34,2020,592
"104","Üksikvanem","Ennustatud 2020",0,29.34,2020,592
"105","Lasteta paar","Tegelik 2020",0.26,9.21,2020,592
"106","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,592
"107","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,592
"108","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,592
"109","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,592
"110","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,592
"111","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,592
"112","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,592
"113","Üksik mees","Tegelik 2020",5.47,32.99,2020,593
"114","Üksik mees","Ennustatud 2020",5.47,32.99,2020,593
"115","Üksik naine","Tegelik 2020",1.35,21.29,2020,593
"116","Üksik naine","Ennustatud 2020",1.35,21.29,2020,593
"117","Üksikvanem","Tegelik 2020",0,29.34,2020,593
"118","Üksikvanem","Ennustatud 2020",0,29.34,2020,593
"119","Lasteta paar","Tegelik 2020",0.26,9.21,2020,593
"120","Lasteta paar","Ennustatud 2020",0.26,9.21,2020,593
"121","Ühe lapsega paar","Tegelik 2020",0,7.3,2020,593
"122","Ühe lapsega paar","Ennustatud 2020",0,7.3,2020,593
"123","Kahe lapsega paar","Tegelik 2020",0,9.65,2020,593
"124","Kahe lapsega paar","Ennustatud 2020",0,9.65,2020,593
"125","Kolme ja enama lapsega paar","Tegelik 2020",0,7.99,2020,593
"126","Kolme ja enama lapsega paar","Ennustatud 2020",0,7.99,2020,593
"127","Üksik mees","Tegelik 2020",5.47,32.99,2020,594
"128","Üksik mees","Ennustatud 2020",5.47,32.99,2020,594
"129","Üksik naine","Tegelik 2020",1.35,21.29,2020,594
"130","Üksik naine","Ennustatud 2020",1.35,21.29,2020,594
"131","Üksikvanem","Tegelik 2020",0,29.34,2020,594
"132","Üksikvanem","Ennustatud 2020",0,29.62,2020,594
"133","Lasteta paar","Tegelik 2020",0.26,9.21,2020,594
