"","year","minwage","household","scenario","absolute_poverty","relative_poverty"
"7548","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1040
"7549","Üksik naine","Tegelik 2018",2.16,22.68,2018,1040
"7550","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1040
"7551","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1040
"7552","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1040
"7553","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1040
"7554","Lasteta paar","Ennustatud 2018",0.63,9.88,2018,1040
"7555","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1040
"7556","Ühe lapsega paar","Ennustatud 2018",0,6.66,2018,1040
"7557","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1040
"7558","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1040
"7559","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1040
"7560","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1040
"7561","Üksik mees","Tegelik 2018",6.42,33.62,2018,1041
"7562","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1041
"7563","Üksik naine","Tegelik 2018",2.16,22.68,2018,1041
"7564","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1041
"7565","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1041
"7566","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1041
"7567","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1041
"7568","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1041
"7569","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1041
"7570","Ühe lapsega paar","Ennustatud 2018",0,6.66,2018,1041
"7571","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1041
"7572","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1041
"7573","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1041
"7574","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1041
"7575","Üksik mees","Tegelik 2018",6.42,33.62,2018,1042
"7576","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1042
"7577","Üksik naine","Tegelik 2018",2.16,22.68,2018,1042
"7578","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1042
"7579","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1042
"7580","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1042
"7581","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1042
"7582","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1042
"7583","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1042
"7584","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1042
"7585","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1042
"7586","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1042
"7587","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1042
"7588","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1042
"7589","Üksik mees","Tegelik 2018",6.42,33.62,2018,1043
"7590","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1043
"7591","Üksik naine","Tegelik 2018",2.16,22.68,2018,1043
"7592","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1043
"7593","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1043
"7594","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1043
"7595","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1043
"7596","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1043
"7597","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1043
"7598","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1043
"7599","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1043
"7600","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1043
"7601","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1043
"7602","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1043
"7603","Üksik mees","Tegelik 2018",6.42,33.62,2018,1044
"7604","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1044
"7605","Üksik naine","Tegelik 2018",2.16,22.68,2018,1044
"7606","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1044
"7607","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1044
"7608","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1044
"7609","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1044
"7610","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1044
"7611","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1044
"7612","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1044
"7613","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1044
"7614","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1044
"7615","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1044
"7616","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1044
"7617","Üksik mees","Tegelik 2018",6.42,33.62,2018,1045
"7618","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1045
"7619","Üksik naine","Tegelik 2018",2.16,22.68,2018,1045
"7620","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1045
"7621","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1045
"7622","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1045
"7623","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1045
"7624","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1045
"7625","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1045
"7626","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1045
"7627","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1045
"7628","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1045
"7629","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1045
"7630","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1045
"7631","Üksik mees","Tegelik 2018",6.42,33.62,2018,1046
"7632","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1046
"7633","Üksik naine","Tegelik 2018",2.16,22.68,2018,1046
"7634","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1046
"7635","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1046
"7636","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1046
"7637","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1046
"7638","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1046
"7639","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1046
"7640","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1046
"7641","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1046
"7642","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1046
"7643","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1046
"7644","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1046
"7645","Üksik mees","Tegelik 2018",6.42,33.62,2018,1047
"7646","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1047
"7647","Üksik naine","Tegelik 2018",2.16,22.68,2018,1047
"7648","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1047
"7649","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1047
"7650","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1047
"7651","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1047
"7652","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1047
"7653","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1047
"7654","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1047
"7655","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1047
"7656","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1047
"7657","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1047
"7658","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1047
"7659","Üksik mees","Tegelik 2018",6.42,33.62,2018,1048
"7660","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1048
"7661","Üksik naine","Tegelik 2018",2.16,22.68,2018,1048
"7662","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1048
"7663","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1048
"7664","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1048
"7665","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1048
"7666","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1048
"7667","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1048
"7668","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1048
"7669","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1048
"7670","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1048
"7671","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1048
"7672","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1048
"7673","Üksik mees","Tegelik 2018",6.42,33.62,2018,1049
"7674","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1049
"7675","Üksik naine","Tegelik 2018",2.16,22.68,2018,1049
"7676","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1049
"7677","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1049
"7678","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1049
"7679","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1049
"7680","Lasteta paar","Ennustatud 2018",0.71,9.88,2018,1049
"7681","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1049
"7682","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1049
"7683","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1049
"7684","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1049
"7685","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1049
"7686","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1049
"7687","Üksik mees","Tegelik 2018",6.42,33.62,2018,1050
"7688","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1050
"7689","Üksik naine","Tegelik 2018",2.16,22.68,2018,1050
"7690","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1050
"7691","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1050
"7692","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1050
"7693","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1050
"7694","Lasteta paar","Ennustatud 2018",0.71,9.99,2018,1050
"7695","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1050
"7696","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1050
"7697","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1050
"7698","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1050
"7699","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1050
"7700","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1050
"7701","Üksik mees","Tegelik 2018",6.42,33.62,2018,1051
"7702","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1051
"7703","Üksik naine","Tegelik 2018",2.16,22.68,2018,1051
"7704","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1051
"7705","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1051
"7706","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1051
"7707","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1051
"7708","Lasteta paar","Ennustatud 2018",0.71,9.99,2018,1051
"7709","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1051
"7710","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1051
"7711","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1051
"7712","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1051
"7713","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1051
"7714","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1051
"7715","Üksik mees","Tegelik 2018",6.42,33.62,2018,1052
"7716","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1052
"7717","Üksik naine","Tegelik 2018",2.16,22.68,2018,1052
"7718","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1052
"7719","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1052
"7720","Üksikvanem","Ennustatud 2018",0.19,22.87,2018,1052
"7721","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1052
"7722","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1052
"7723","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1052
"7724","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1052
"7725","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1052
"7726","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1052
"7727","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1052
"7728","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1052
"7729","Üksik mees","Tegelik 2018",6.42,33.62,2018,1053
"7730","Üksik mees","Ennustatud 2018",5.89,36.21,2018,1053
"7731","Üksik naine","Tegelik 2018",2.16,22.68,2018,1053
"7732","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1053
"7733","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1053
"7734","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1053
"7735","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1053
"7736","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1053
"7737","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1053
"7738","Ühe lapsega paar","Ennustatud 2018",0,6.5,2018,1053
"7739","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1053
"7740","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1053
"7741","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1053
"7742","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1053
"7743","Üksik mees","Tegelik 2018",6.42,33.62,2018,1054
"7744","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1054
"7745","Üksik naine","Tegelik 2018",2.16,22.68,2018,1054
"7746","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1054
"7747","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1054
"7748","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1054
"7749","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1054
"7750","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1054
"7751","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1054
"7752","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1054
"7753","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1054
"7754","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1054
"7755","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1054
"7756","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1054
"7757","Üksik mees","Tegelik 2018",6.42,33.62,2018,1055
"7758","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1055
"7759","Üksik naine","Tegelik 2018",2.16,22.68,2018,1055
"7760","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1055
"7761","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1055
"7762","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1055
"7763","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1055
"7764","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1055
"7765","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1055
"7766","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1055
"7767","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1055
"7768","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1055
"7769","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1055
"7770","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1055
"7771","Üksik mees","Tegelik 2018",6.42,33.62,2018,1056
"7772","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1056
"7773","Üksik naine","Tegelik 2018",2.16,22.68,2018,1056
"7774","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1056
"7775","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1056
"7776","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1056
"7777","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1056
"7778","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1056
"7779","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1056
"7780","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1056
"7781","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1056
"7782","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1056
"7783","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1056
"7784","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1056
"7785","Üksik mees","Tegelik 2018",6.42,33.62,2018,1057
"7786","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1057
"7787","Üksik naine","Tegelik 2018",2.16,22.68,2018,1057
"7788","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1057
"7789","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1057
"7790","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1057
"7791","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1057
"7792","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1057
"7793","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1057
"7794","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1057
"7795","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1057
"7796","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1057
"7797","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1057
"7798","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1057
"7799","Üksik mees","Tegelik 2018",6.42,33.62,2018,1058
"7800","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1058
"7801","Üksik naine","Tegelik 2018",2.16,22.68,2018,1058
"7802","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1058
"7803","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1058
"7804","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1058
"7805","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1058
"7806","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1058
"7807","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1058
"7808","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1058
"7809","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1058
"7810","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1058
"7811","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1058
"7812","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1058
"7813","Üksik mees","Tegelik 2018",6.42,33.62,2018,1059
"7814","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1059
"7815","Üksik naine","Tegelik 2018",2.16,22.68,2018,1059
"7816","Üksik naine","Ennustatud 2018",2.16,22.97,2018,1059
"7817","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1059
"7818","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1059
"7819","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1059
"7820","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1059
"7821","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1059
"7822","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1059
"7823","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1059
"7824","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1059
"7825","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1059
"7826","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1059
"7827","Üksik mees","Tegelik 2018",6.42,33.62,2018,1060
"7828","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1060
"7829","Üksik naine","Tegelik 2018",2.16,22.68,2018,1060
"7830","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1060
"7831","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1060
"7832","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1060
"7833","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1060
"7834","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1060
"7835","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1060
"7836","Ühe lapsega paar","Ennustatud 2018",0,6.2,2018,1060
"7837","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1060
"7838","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1060
"7839","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1060
"7840","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1060
"7841","Üksik mees","Tegelik 2018",6.42,33.62,2018,1061
"7842","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1061
"7843","Üksik naine","Tegelik 2018",2.16,22.68,2018,1061
"7844","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1061
"7845","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1061
"7846","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1061
"7847","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1061
"7848","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1061
"7849","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1061
"7850","Ühe lapsega paar","Ennustatud 2018",0,6.48,2018,1061
"7851","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1061
"7852","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1061
"7853","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1061
"7854","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1061
"7855","Üksik mees","Tegelik 2018",6.42,33.62,2018,1062
"7856","Üksik mees","Ennustatud 2018",5.89,36.56,2018,1062
"7857","Üksik naine","Tegelik 2018",2.16,22.68,2018,1062
"7858","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1062
"7859","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1062
"7860","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1062
"7861","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1062
"7862","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1062
"7863","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1062
"7864","Ühe lapsega paar","Ennustatud 2018",0,6.48,2018,1062
"7865","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1062
"7866","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1062
"7867","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1062
"7868","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1062
"7869","Üksik mees","Tegelik 2018",6.42,33.62,2018,1063
"7870","Üksik mees","Ennustatud 2018",5.89,36.71,2018,1063
"7871","Üksik naine","Tegelik 2018",2.16,22.68,2018,1063
"7872","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1063
"7873","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1063
"7874","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1063
"7875","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1063
"7876","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1063
"7877","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1063
"7878","Ühe lapsega paar","Ennustatud 2018",0,6.48,2018,1063
"7879","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1063
"7880","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1063
"7881","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1063
"7882","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1063
"7883","Üksik mees","Tegelik 2018",6.42,33.62,2018,1064
"7884","Üksik mees","Ennustatud 2018",5.89,36.71,2018,1064
"7885","Üksik naine","Tegelik 2018",2.16,22.68,2018,1064
"7886","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1064
"7887","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1064
"7888","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1064
"7889","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1064
"7890","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1064
"7891","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1064
"7892","Ühe lapsega paar","Ennustatud 2018",0,6.48,2018,1064
"7893","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1064
"7894","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1064
"7895","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1064
"7896","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1064
"7897","Üksik mees","Tegelik 2018",6.42,33.62,2018,1065
"7898","Üksik mees","Ennustatud 2018",5.89,36.71,2018,1065
"7899","Üksik naine","Tegelik 2018",2.16,22.68,2018,1065
"7900","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1065
"7901","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1065
"7902","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1065
"7903","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1065
"7904","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1065
"7905","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1065
"7906","Ühe lapsega paar","Ennustatud 2018",0,6.48,2018,1065
"7907","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1065
"7908","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1065
"7909","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1065
"7910","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1065
"7911","Üksik mees","Tegelik 2018",6.42,33.62,2018,1066
"7912","Üksik mees","Ennustatud 2018",5.89,36.71,2018,1066
"7913","Üksik naine","Tegelik 2018",2.16,22.68,2018,1066
"7914","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1066
"7915","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1066
"7916","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1066
"7917","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1066
"7918","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1066
"7919","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,1066
"7920","Ühe lapsega paar","Ennustatud 2018",0,6.33,2018,1066
"7921","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,1066
"7922","Kahe lapsega paar","Ennustatud 2018",0,7.36,2018,1066
"7923","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,1066
"7924","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.53,2018,1066
"7925","Üksik mees","Tegelik 2018",6.42,33.62,2018,1067
"7926","Üksik mees","Ennustatud 2018",5.89,36.71,2018,1067
"7927","Üksik naine","Tegelik 2018",2.16,22.68,2018,1067
"7928","Üksik naine","Ennustatud 2018",2.16,23.28,2018,1067
"7929","Üksikvanem","Tegelik 2018",0.19,30.12,2018,1067
"7930","Üksikvanem","Ennustatud 2018",0.19,23.17,2018,1067
"7931","Lasteta paar","Tegelik 2018",0.63,9.31,2018,1067
"7932","Lasteta paar","Ennustatud 2018",0.63,9.99,2018,1067
