"","year","minwage","household","scenario","absolute_poverty","relative_poverty"
"167","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,512
"168","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,512
"169","Üksik mees","Tegelik 2018",6.42,33.62,2018,513
"170","Üksik mees","Ennustatud 2018",6.42,33.62,2018,513
"171","Üksik naine","Tegelik 2018",2.16,22.68,2018,513
"172","Üksik naine","Ennustatud 2018",2.16,22.06,2018,513
"173","Üksikvanem","Tegelik 2018",0.19,30.12,2018,513
"174","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,513
"175","Lasteta paar","Tegelik 2018",0.63,9.31,2018,513
"176","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,513
"177","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,513
"178","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,513
"179","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,513
"180","Kahe lapsega paar","Ennustatud 2018",0,9.54,2018,513
"181","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,513
"182","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,513
"183","Üksik mees","Tegelik 2018",6.42,33.62,2018,514
"184","Üksik mees","Ennustatud 2018",6.42,33.62,2018,514
"185","Üksik naine","Tegelik 2018",2.16,22.68,2018,514
"186","Üksik naine","Ennustatud 2018",2.16,22.06,2018,514
"187","Üksikvanem","Tegelik 2018",0.19,30.12,2018,514
"188","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,514
"189","Lasteta paar","Tegelik 2018",0.63,9.31,2018,514
"190","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,514
"191","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,514
"192","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,514
"193","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,514
"194","Kahe lapsega paar","Ennustatud 2018",0,9.54,2018,514
"195","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,514
"196","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,514
"197","Üksik mees","Tegelik 2018",6.42,33.62,2018,515
"198","Üksik mees","Ennustatud 2018",6.42,33.62,2018,515
"199","Üksik naine","Tegelik 2018",2.16,22.68,2018,515
"200","Üksik naine","Ennustatud 2018",2.16,22.06,2018,515
"201","Üksikvanem","Tegelik 2018",0.19,30.12,2018,515
"202","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,515
"203","Lasteta paar","Tegelik 2018",0.63,9.31,2018,515
"204","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,515
"205","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,515
"206","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,515
"207","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,515
"208","Kahe lapsega paar","Ennustatud 2018",0,9.54,2018,515
"209","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,515
"210","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,515
"211","Üksik mees","Tegelik 2018",6.42,33.62,2018,516
"212","Üksik mees","Ennustatud 2018",6.42,33.62,2018,516
"213","Üksik naine","Tegelik 2018",2.16,22.68,2018,516
"214","Üksik naine","Ennustatud 2018",2.16,22.06,2018,516
"215","Üksikvanem","Tegelik 2018",0.19,30.12,2018,516
"216","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,516
"217","Lasteta paar","Tegelik 2018",0.63,9.31,2018,516
"218","Lasteta paar","Ennustatud 2018",0.63,9.66,2018,516
"219","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,516
"220","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,516
"221","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,516
"222","Kahe lapsega paar","Ennustatud 2018",0,9.54,2018,516
"223","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,516
"224","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,516
"225","Üksik mees","Tegelik 2018",6.42,33.62,2018,517
